
timestamp,open,high,low,close,volume
2025-01-01T00:00:00Z,45000,45100,44800,44950,1200
2025-01-01T00:15:00Z,44950,45050,44850,45000,1100
2025-01-01T00:30:00Z,45000,45200,44950,45150,1300
2025-01-01T00:45:00Z,45150,45300,45100,45250,1400
2025-01-01T01:00:00Z,45250,45400,45200,45350,1500
2025-01-01T01:15:00Z,45350,45600,45300,45550,2700
2025-01-01T01:30:00Z,45550,45750,45500,45700,3000
2025-01-01T01:45:00Z,45700,45900,45650,45850,2900
2025-01-01T02:00:00Z,45850,46000,45800,45950,2500
2025-01-01T02:15:00Z,45950,46100,45900,46050,2400
2025-01-01T02:30:00Z,46050,46300,46000,46250,4000
2025-01-01T02:45:00Z,46250,46500,46200,46450,4200
2025-01-01T03:00:00Z,46450,46650,46400,46600,4100
2025-01-01T03:15:00Z,46600,46800,46550,46750,3800
2025-01-01T03:30:00Z,46750,46950,46700,46900,3600
